Card_Name,Set,Card_type1,Card_type2,Modal,Mana_Cost,CMC,Phyrexian_Mana,Color,Rarity,Price
Eternity Vessel,ZEN,Artifact,,no,6,6.0,no,colorless,M,8.21
Ethercaste Knight,MM2,ArtifactCreature,,no,WU,2.0,no,WU,U,0.12
Ethereal Absolution,RNA,Enchantment,,no,4WB,6.0,no,WB,R,0.38
Ethereal Ambush,FRF,Instant,,no,3GU,5.0,no,UG,C,0.04
Ethereal Armor,RTR,Enchantment,,no,W,1.0,no,W,C,0.32
Ethereal Champion,6ED,Creature,,no,2WWW,5.0,no,W,R,0.24
Ethereal Elk,M20,Creature,,no,3GG,5.0,no,G,R,0.23
Ethereal Forager,C20,Creature,,no,4UU,6.0,no,U,R,0.75
Ethereal Guidance,SOI,Sorcery,,no,2W,3.0,no,W,C,0.02
Ethereal Haze,CHK,Instant,,no,W,1.0,no,W,C,0.28
Ethereal Investigator,VOC,Creature,,no,3U,4.0,no,U,R,0.86
Ethereal Usher,RAV,Creature,,no,5U,6.0,no,U,U,0.21
Ethereal Valkyrie,KHC,Creature,,no,4WU,6.0,no,WU,R,0.26
Ethereal Whiskergill,LRW,Creature,,no,3U,4.0,no,U,U,0.09
Etherium Abomination,ARB,ArtifactCreature,,no,3UB,5.0,no,UB,C,0.04
Etherium Astrolabe,ALA,Artifact,,no,2U,3.0,no,U,U,0.08
Etherium-Horn Sorcerer,C17,ArtifactCreature,,no,4UR,6.0,no,UR,R,0.22
Etherium Sculptor,NEC,ArtifactCreature,,no,1U,2.0,no,U,C,0.19
Etherium Spinner,MH2,ArtifactCreature,,no,2U,3.0,no,U,C,0.01
Ethersworn Adjudicator,C16,ArtifactCreature,,no,4U,5.0,no,U,M,2.15
Ethersworn Canonist,2XM,ArtifactCreature,,no,1W,2.0,no,W,R,7.83
Ethersworn Shieldmage,ARC,ArtifactCreature,,no,1WU,3.0,no,WU,C,0.1
Ethersworn Sphinx,MH2,ArtifactCreature,,no,7WU,9.0,no,WU,U,0.04
Ether Well,MIR,Instant,,no,3U,4.0,no,U,U,0.14
Etherwrought Page,ARB,Artifact,,no,1WUB,4.0,no,WUB,U,0.15
"Etrata, the Silencer",GRN,LegendaryCreature,,no,2UB,4.0,no,UB,R,0.76
Eunuchs' Intrigues,PTK,Sorcery,,no,2R,3.0,no,R,U,33.0
Eureka,VMA,Sorcery,,no,2GG,4.0,no,G,M,702.0
Eureka Moment,STX,Instant,,no,2GU,4.0,no,UG,C,0.08
Eutropia the Twice-Favored,THB,LegendaryCreature,,no,1GU,3.0,no,UG,U,0.09
Evacuation,C16,Instant,,no,3UU,5.0,no,U,R,4.73
Evanescent Intellect,BNG,Enchantment,,no,U,1.0,no,U,C,0.05
Evangelize,TSP,Sorcery,,no,4W,5.0,no,W,R,0.26
Evangel of Heliod,KHC,Creature,,no,4WW,6.0,no,W,U,0.11
Evaporate,HML,Sorcery,,no,2R,3.0,no,R,U,0.14
Evasive Action,DDE,Instant,,no,1U,2.0,no,U,U,0.15
"Evelyn, the Covetous",SNC,LegendaryCreature,,no,2UBBBR,7.0,no,UBR,R,0.18
Even the Odds,FUT,Instant,,no,2W,3.0,no,W,U,0.1
Even the Score,SNC,Instant,,no,XUUU,3.0,no,U,M,0.8
Ever After,C20,Sorcery,,no,4BB,6.0,no,B,R,0.22
Everbark Shaman,MOR,Creature,,no,4G,5.0,no,G,C,0.17
Everdawn Champion,GNT,Creature,,no,1WW,3.0,no,W,U,0.08
Everdream,MH1,Instant,,no,1U,2.0,no,U,U,0.04
Everflame Eidolon,BNG,EnchantmentCreature,,no,1R,2.0,no,R,U,0.05
Everflowing Chalice,NCC,Artifact,,no,0,0.0,no,colorless,U,0.49
Everglades,C14,Land,,no,,0.0,no,colorless,U,0.62
Everglove Courier,ONS,Creature,,no,2G,3.0,no,G,U,0.13
Everlasting Torment,C16,Enchantment,,no,2BR,4.0,no,BR,R,1.98
Evermind,SOK,Instant,,no,,0.0,no,U,U,0.08
Evernight Shade,C14,Creature,,no,3B,4.0,no,B,U,0.09
Everquill Phoenix,IKO,Creature,,no,2RR,4.0,no,R,R,0.21
Evershrike,EVE,Creature,,no,3WBWB,7.0,no,WB,R,0.95
Ever-Watching Threshold,C18,Enchantment,,no,2U,3.0,no,U,R,1.58
Evil Eye of Orms-by-Gore,TSB,Creature,,no,4B,5.0,no,B,S,0.17
Evil Eye of Urborg,TSP,Creature,,no,4B,5.0,no,B,U,0.17
Evil Presence,NPH,Enchantment,,no,B,1.0,no,B,C,0.06
Evil Twin,BBD,Creature,,no,2UB,4.0,no,UB,R,0.34
Evincar's Justice,CMA,Sorcery,,no,2BB,4.0,no,B,C,0.18
Eviscerate,DOM,Sorcery,,no,3B,4.0,no,B,C,0.02
Eviscerator,ULG,Creature,,no,3BB,5.0,no,B,R,0.28
Evolutionary Escalation,C16,Enchantment,,no,1G,2.0,no,G,U,0.7
Evolutionary Leap,NCC,Enchantment,,no,1G,2.0,no,G,R,0.27
Evolution Charm,TSR,Instant,,no,1G,2.0,no,G,C,0.04
Evolution Sage,NCC,Creature,,no,2G,3.0,no,G,U,0.76
Evolution Vat,DIS,Artifact,,no,3,3.0,no,colorless,R,0.63
Evolving Door,SNC,Artifact,,no,2G,3.0,no,G,R,0.16
Evolving Wilds,VOW,Land,,no,,0.0,no,colorless,C,0.08
"Evra, Halcyon Witness",DOM,LegendaryCreature,,no,4WW,6.0,no,W,R,0.17
Exalted Angel,ONS,Creature,,no,4WW,6.0,no,W,R,0.62
Exalted Dragon,TPR,Creature,,no,4WW,6.0,no,W,R,2.5
"Exava, Rakdos Blood Witch",DGM,LegendaryCreature,,no,2BR,4.0,no,BR,R,0.22
Excavated Wall,STX,ArtifactCreature,,no,1,1.0,no,colorless,C,0.01
Excavating Anurid,MH1,Creature,,no,4G,5.0,no,G,C,0.03
Excavation,PCY,Enchantment,,no,1U,2.0,no,U,U,0.31
Excavation Elephant,DOM,Creature,,no,4W,5.0,no,W,C,0.01
Excavation Mole,IKO,Creature,,no,2G,3.0,no,G,C,0.01
Excavation Technique,C21,Sorcery,,no,3W,4.0,no,W,R,0.09
Excavator,TMP,Artifact,,no,2,2.0,no,colorless,U,0.12
Excise,PCY,Instant,,no,XW,1.0,no,W,C,0.05
Exclude,JMP,Instant,,no,2U,3.0,no,U,U,0.1
Exclusion Mage,JMP,Creature,,no,2U,3.0,no,U,U,0.1
Exclusion Ritual,NPH,Enchantment,,no,4WW,6.0,no,W,U,0.15
Excommunicate,M11,Sorcery,,no,2W,3.0,no,W,C,0.01
Excoriate,E01,Sorcery,,no,3W,4.0,no,W,C,0.01
Excruciator,RAV,Creature,,no,6RR,8.0,no,R,R,0.19
Execute,9ED,Instant,,no,2B,3.0,no,B,U,0.1
Executioner's Capsule,2XM,Artifact,,no,B,1.0,no,B,C,0.1
Executioner's Hood,DKA,Artifact,,no,2,2.0,no,colorless,C,0.09
Executioner's Swing,GTC,Instant,,no,WB,2.0,no,WB,C,0.03
Exemplar of Strength,AKH,Creature,,no,1G,2.0,no,G,U,0.08
Exert Influence,BFZ,Sorcery,,no,4U,5.0,no,U,R,0.1
Exhaustion,9ED,Sorcery,,no,2U,3.0,no,U,U,0.27
Exhibition Magician,SNC,Creature,,no,2R,3.0,no,R,C,0.01
Exhilarating Elocution,STX,Sorcery,,no,2WB,4.0,no,WB,C,0.01
Exhume,JMP,Sorcery,,no,1B,2.0,no,B,U,1.16
Exhumer Thrull,GPT,Creature,,no,5B,6.0,no,B,U,0.1
Exile,VMA,Instant,,no,2W,3.0,no,W,C,0.69
Exiled Boggart,LRW,Creature,,no,1B,2.0,no,B,C,0.04
Exiled Doomsayer,SCG,Creature,,no,1W,2.0,no,W,R,0.17
Exile into Darkness,SOK,Sorcery,,no,4B,5.0,no,B,U,0.14
Exorcist,ME3,Creature,,no,WW,2.0,no,W,U,44.9
Exoskeletal Armor,JUD,Enchantment,,no,1G,2.0,no,G,U,0.23
Exotic Curse,DDE,Enchantment,,no,2B,3.0,no,B,C,0.09
Exotic Disease,PLS,Sorcery,,no,4B,5.0,no,B,U,0.12
Exotic Orchard,NCC,Land,,no,,0.0,no,colorless,R,0.17
Exotic Pets,SNC,Instant,,no,1WU,3.0,no,WU,U,0.07
Expanded Anatomy,STX,Sorcery,,no,3,3.0,no,colorless,C,0.01
Expansion//Explosion,GRN,Instant,Instant,yes,URURXUURR,8.0,no,UR,R,1.8
Expedite,CMR,Instant,,no,R,1.0,no,R,C,0.04
Expedition Champion,ZNR,Creature,,no,2R,3.0,no,R,C,0.02
Expedition Diviner,ZNR,Creature,,no,3U,4.0,no,U,C,0.01
Expedition Envoy,BFZ,Creature,,no,W,1.0,no,W,U,0.06
Expedition Healer,ZNR,Creature,,no,1W,2.0,no,W,C,0.01
Expedition Map,2XM,Artifact,,no,1,1.0,no,colorless,C,1.85
Expedition Raptor,BBD,Creature,,no,3WW,5.0,no,W,C,0.01
Expedition Skulker,ZNR,Creature,,no,1B,2.0,no,B,C,0.01
Expel,STX,Instant,,no,2W,3.0,no,W,C,0.02
Expel from Orazca,RIX,Instant,,no,1U,2.0,no,U,U,0.25
Expendable Lackey,SNC,Creature,,no,U,1.0,no,U,C,0.01
Expendable Troops,ULG,Creature,,no,1W,2.0,no,W,C,0.07
Experimental Aviator,KLD,Creature,,no,3UU,5.0,no,U,U,0.09
Experimental Frenzy,GRN,Enchantment,,no,3R,4.0,no,R,R,0.15
Experimental Overload,M21,Sorcery,,no,2UR,4.0,no,UR,U,0.16
Experimental Synthesizer,NEO,Artifact,,no,R,1.0,no,R,C,0.55
Experiment Kraj,DIS,LegendaryCreature,,no,2GGUU,6.0,no,UG,R,4.2
Experiment One,C15,Creature,,no,G,1.0,no,G,U,0.4
Exploding Borders,CON,Sorcery,,no,2RG,4.0,no,RG,C,0.06
Exploration,2XM,Enchantment,,no,G,1.0,no,G,R,25.37
Explore,NCC,Sorcery,,no,1G,2.0,no,G,C,0.15
Explorer's Scope,AFC,Artifact,,no,1,1.0,no,colorless,C,0.07
Explosion of Riches,CMR,Sorcery,,no,5R,6.0,no,R,U,0.01
Explosive Apparatus,M19,Artifact,,no,1,1.0,no,colorless,C,0.01
Explosive Entry,NEO,Sorcery,,no,1R,2.0,no,R,C,0.01
Explosive Growth,INV,Instant,,no,G,1.0,no,G,C,0.11
Explosive Impact,RTR,Instant,,no,5R,6.0,no,R,C,0.02
Explosive Revelation,ROE,Sorcery,,no,3RR,5.0,no,R,U,0.11
Explosive Singularity,NEO,Sorcery,,no,8RR,10.0,no,R,M,0.27
Explosive Vegetation,C18,Sorcery,,no,3G,4.0,no,G,U,0.95
Explosive Welcome,STX,Instant,,no,7R,8.0,no,R,U,0.03
Exponential Growth,STX,Sorcery,,no,XXGG,2.0,no,G,R,0.24
Expose Evil,SOI,Instant,,no,1W,2.0,no,W,C,0.05
Expose to Daylight,RNA,Instant,,no,2W,3.0,no,W,C,0.03
Expressive Iteration,STX,Sorcery,,no,UR,2.0,no,UR,U,5.7
Expropriate,CN2,Sorcery,,no,7UU,9.0,no,U,M,24.42
Expunge,VMA,Instant,,no,2B,3.0,no,B,C,0.19
Exquisite Archangel,AER,Creature,,no,5WW,7.0,no,W,M,2.67
Exquisite Blood,JMP,Enchantment,,no,4B,5.0,no,B,R,20.07
Exquisite Firecraft,ORI,Sorcery,,no,1RR,3.0,no,R,R,0.49
Exquisite Huntmaster,CMR,Creature,,no,3B,4.0,no,B,C,0.01
Exsanguinate,SOM,Sorcery,,no,XBB,2.0,no,B,U,7.82
Extinction,TMP,Sorcery,,no,4B,5.0,no,B,R,0.4
Extinction Event,IKO,Sorcery,,no,3B,4.0,no,B,R,0.64
Extinguish,PTK,Instant,,no,1U,2.0,no,U,C,0.16
Extinguish All Hope,JOU,Sorcery,,no,4BB,6.0,no,B,R,0.5
Extirpate,TSR,Instant,,no,B,1.0,no,B,R,0.99
Extortion,MMQ,Sorcery,,no,3BB,5.0,no,B,R,0.29
Extra Arms,SCG,Enchantment,,no,4R,5.0,no,R,U,0.09
Extract,ODY,Sorcery,,no,U,1.0,no,U,R,7.2
Extract Brain,AFC,Sorcery,,no,XUB,2.0,no,UB,R,0.13
Extract from Darkness,ZNC,Sorcery,,no,3UB,5.0,no,UB,U,0.17
Extraction Specialist,SNC,Creature,,no,2W,3.0,no,W,R,0.26
Extractor Demon,CM2,Creature,,no,4BB,6.0,no,B,R,0.16
Extract the Truth,SNC,Sorcery,,no,1B,2.0,no,B,C,0.02
Extraplanar Lens,MRD,Artifact,,no,3,3.0,no,colorless,R,37.01
Extravagant Replication,NCC,Enchantment,,no,4UU,6.0,no,U,R,3.74
Extravagant Spirit,MMQ,Creature,,no,3U,4.0,no,U,R,0.18
Extricator of Sin//Extricator of Flesh,EMN,Creature,Creature,yes,2W,3.0,no,W,U,0.14
Extruder,MH2,ArtifactCreature,,no,4,4.0,no,colorless,U,0.01
"Extus, Oriq Overlord//Awaken the Blood Avatar",STX,LegendaryCreature,Sorcery,yes,1WBB6BR,12.0,no,WBR,M,0.82
Exuberant Firestoker,ALA,Creature,,no,2R,3.0,no,R,U,0.09
Exuberant Wolfbear,IKO,Creature,,no,3G,4.0,no,G,U,0.04
Exultant Cultist,EMN,Creature,,no,2U,3.0,no,U,C,0.03
Exultant Skymarcher,RIX,Creature,,no,1WW,3.0,no,W,C,0.02
Eyeblight Assassin,CMR,Creature,,no,2B,3.0,no,B,C,0.01
Eyeblight Cullers,KHC,Creature,,no,4B,5.0,no,B,C,0.01
Eyeblight Massacre,KHC,Sorcery,,no,2BB,4.0,no,B,U,0.01
Eyeblight's Ending,EMA,TribalInstant,,no,2B,3.0,no,B,C,0.08
Eye Collector,ELD,Creature,,no,B,1.0,no,B,C,0.02
Eye for an Eye,ME4,Instant,,no,WW,2.0,no,W,R,0.27
Eye Gouge,BNG,Instant,,no,B,1.0,no,B,C,0.01
Eyekite,MH1,Creature,,no,1U,2.0,no,U,C,0.02
Eyeless Watcher,BFZ,Creature,,no,3G,4.0,no,G,C,0.08
Eye of Doom,C13,Artifact,,no,4,4.0,no,colorless,R,0.23
Eye of Nowhere,CHK,Sorcery,,no,UU,2.0,no,U,C,0.22
Eye of Ramos,MMQ,Artifact,,no,3,3.0,no,colorless,R,3.79
Eye of Singularity,VIS,WorldEnchantment,,no,3W,4.0,no,W,R,3.54
Eye of the Storm,RAV,Enchantment,,no,5UU,7.0,no,U,R,1.02
Eye of Ugin,MM2,LegendaryLand,,no,,0.0,no,colorless,R,9.49
Eye of Vecna,AFR,LegendaryArtifact,,no,2,2.0,no,colorless,R,0.39
Eye of Yawgmoth,NEM,Artifact,,no,3,3.0,no,colorless,R,0.3
Eyes Everywhere,RNA,Enchantment,,no,2U,3.0,no,U,U,0.09
Eyes in the Skies,MM3,Instant,,no,3W,4.0,no,W,C,0.04
Eyes of the Beholder,AFR,Instant,,no,4BB,6.0,no,B,C,0.02
Eyes of the Watcher,5DN,Enchantment,,no,2U,3.0,no,U,U,0.28
Eyes of the Wisent,LRW,TribalEnchantment,,no,1G,2.0,no,G,R,0.55
Eye Spy,S99,Sorcery,,no,U,1.0,no,U,U,0.13
Eyetwitch,STX,Creature,,no,B,1.0,no,B,U,0.35
"Ezuri, Claw of Progress",C15,LegendaryCreature,,no,2GU,4.0,no,UG,M,1.13
"Ezuri, Renegade Leader",DDU,LegendaryCreature,,no,1GG,3.0,no,G,M,6.64
Ezuri's Archers,DDU,Creature,,no,G,1.0,no,G,C,0.08
Ezuri's Brigade,SOM,Creature,,no,2GG,4.0,no,G,R,0.2
Ezuri's Predation,C21,Sorcery,,no,5GGG,8.0,no,G,R,1.79
Ezzaroot Channeler,C21,Creature,,no,5G,6.0,no,G,R,0.32
Fa'adiyah Seer,JMP,Creature,,no,1G,2.0,no,G,C,0.04
Fabled Hero,THS,Creature,,no,1WW,3.0,no,W,R,0.23
Fabled Passage,M21,Land,,no,,0.0,no,colorless,R,5.11
Fable of the Mirror-Breaker//Reflection of Kiki-Jiki,NEO,Enchantment,EnchantmentCreature,yes,2R,3.0,no,R,R,6.61
Fable of Wolf and Owl,EVE,Enchantment,,no,3GUGUGU,9.0,no,UG,R,6.86
Fabricate,40K,Sorcery,,no,2U,3.0,no,U,R,5.73
Fabrication Module,KLD,Artifact,,no,3,3.0,no,colorless,U,0.1
Faceless Butcher,TSB,Creature,,no,2BB,4.0,no,B,S,0.24
Faceless Devourer,TSR,Creature,,no,2B,3.0,no,B,U,0.02
Faceless Haven,KHM,SnowLand,,no,,0.0,no,colorless,R,0.4
Face of Divinity,JMP,Enchantment,,no,2W,3.0,no,W,U,0.1
Face of Fear,ODY,Creature,,no,5B,6.0,no,B,U,0.11
Faces of the Past,SCG,Enchantment,,no,2U,3.0,no,U,R,1.69
Facet Reader,IKO,Creature,,no,1U,2.0,no,U,C,0.03
Facevaulter,MMA,Creature,,no,B,1.0,no,B,C,0.05
Fact or Fiction,NCC,Instant,,no,3U,4.0,no,U,U,0.2
Fade Away,EXO,Sorcery,,no,2U,3.0,no,U,C,0.93
Fade from Memory,ONS,Instant,,no,B,1.0,no,B,U,0.12
Fade into Antiquity,NEO,Sorcery,,no,2G,3.0,no,G,C,0.01
Fading Hope,MID,Instant,,no,U,1.0,no,U,U,0.5
Faeburrow Elder,ELD,Creature,,no,1GW,3.0,no,WG,R,3.11
Fae Offering,MH2,Enchantment,,no,2G,3.0,no,G,U,0.05
Fae of Wishes//Granted,ELD,Creature,Sorcery,yes,1U3U,6.0,no,U,R,0.12
Faerie Artisans,C16,Creature,,no,3U,4.0,no,U,R,13.4
Faerie Conclave,CMA,Land,,no,,0.0,no,colorless,U,1.24
Faerie Duelist,RNA,Creature,,no,1U,2.0,no,U,C,0.06
Faerie Formation,ELD,Creature,,no,4U,5.0,no,U,R,0.4
Faerie Guidemother//Gift of the Fae,ELD,Creature,Sorcery,yes,W1W,3.0,no,W,C,0.06
Faerie Harbinger,LRW,Creature,,no,3U,4.0,no,U,U,0.7
Faerie Impostor,DDN,Creature,,no,U,1.0,no,U,U,0.13
Faerie Invaders,DDN,Creature,,no,4U,5.0,no,U,C,0.06
Faerie Macabre,GVL,Creature,,no,1BB,3.0,no,B,C,0.8
Faerie Mechanist,2XM,ArtifactCreature,,no,3U,4.0,no,U,C,0.01
Faerie Miscreant,M20,Creature,,no,U,1.0,no,U,C,0.14
Faerie Noble,ME3,Creature,,no,2G,3.0,no,G,U,2.49
Faerie Seer,MH1,Creature,,no,U,1.0,no,U,C,0.49
Faerie Squadron,INV,Creature,,no,U,1.0,no,U,C,0.1
Faerie Swarm,SHM,Creature,,no,3U,4.0,no,U,U,0.91
Faerie Tauntings,LRW,TribalEnchantment,,no,2B,3.0,no,B,U,0.25
Faerie Trickery,LRW,TribalInstant,,no,1UU,3.0,no,U,C,0.24
Faerie Vandal,SNC,Creature,,no,1U,2.0,no,U,U,0.04
Failed Inspection,KLD,Instant,,no,2UU,4.0,no,U,C,0.01
Failure//Comply,AKH,Instant,Sorcery,yes,1UW,3.0,no,WU,R,0.14
"Fain, the Broker",C21,LegendaryCreature,,no,2B,3.0,no,B,R,0.63
Fairgrounds Patrol,MH2,Creature,,no,1W,2.0,no,W,C,0.01
Fairgrounds Trumpeter,KLD,Creature,,no,2G,3.0,no,G,U,0.04
Fairgrounds Warden,KLD,Creature,,no,2W,3.0,no,W,U,0.07
Faithbearer Paladin,EMN,Creature,,no,4W,5.0,no,W,C,0.03
Faithbound Judge//Sinner's Judgment,VOW,Creature,Enchantment,yes,1WW,3.0,no,W,M,1.53
Faithful Mending,MID,Instant,,no,WU,2.0,no,WU,U,1.17
"Faithful Squire//Kaiso, Memory of Loyalty",BOK,Creature,LegendaryCreature,yes,1WW,3.0,no,W,U,0.11
Faith Healer,USG,Creature,,no,1W,2.0,no,W,R,2.64
Faithless Looting,C21,Sorcery,,no,R,1.0,no,R,C,0.34
Faithless Salvaging,MH2,Instant,,no,1R,2.0,no,R,C,0.02
Faith of the Devoted,C19,Enchantment,,no,2B,3.0,no,B,U,0.16
Faith's Fetters,CMR,Enchantment,,no,3W,4.0,no,W,U,0.03
Faith's Reward,CN2,Instant,,no,3W,4.0,no,W,R,1.97
Faith's Shield,DKA,Instant,,no,W,1.0,no,W,U,0.24
Faith Unbroken,CMR,Enchantment,,no,3W,4.0,no,W,U,0.04
Fake Your Own Death,SNC,Instant,,no,1B,2.0,no,B,C,0.02
Falcon Abomination,MID,Creature,,no,2U,3.0,no,U,C,0.02
Falconer Adept,M21,Creature,,no,3W,4.0,no,W,U,0.01
"Falco Spara, Pactweaver",SNC,LegendaryCreature,,no,1GWU,4.0,no,WUG,M,1.43
Falkenrath Aristocrat,2XM,Creature,,no,2BR,4.0,no,BR,R,0.41
Falkenrath Celebrants,VOW,Creature,,no,4R,5.0,no,R,C,0.01
Falkenrath Exterminator,AVR,Creature,,no,1R,2.0,no,R,U,0.12
Falkenrath Forebear,VOW,Creature,,no,2B,3.0,no,B,R,0.15
Falkenrath Gorger,VOC,Creature,,no,R,1.0,no,R,R,0.13
Falkenrath Marauders,ISD,Creature,,no,3RR,5.0,no,R,R,0.24
Falkenrath Noble,VOC,Creature,,no,3B,4.0,no,B,U,0.22
Falkenrath Perforator,MID,Creature,,no,1R,2.0,no,R,C,0.01
Falkenrath Pit Fighter,MID,Creature,,no,R,1.0,no,R,R,0.23
Falkenrath Reaver,W17,Creature,,no,1R,2.0,no,R,C,0.02
Falkenrath Torturer,DKA,Creature,,no,2B,3.0,no,B,C,0.03
Fallen Angel,A25,Creature,,no,3BB,5.0,no,B,U,0.12
Fallen Askari,VMA,Creature,,no,1B,2.0,no,B,C,0.06
Fallen Cleric,ONS,Creature,,no,4B,5.0,no,B,C,0.04
Fallen Ferromancer,NPH,Creature,,no,3R,4.0,no,R,U,0.16
Fallen Ideal,C15,Enchantment,,no,2B,3.0,no,B,U,0.24
Fallen Shinobi,NCC,Creature,,no,3UB,5.0,no,UB,R,1.01
Fall from Favor,CMR,Enchantment,,no,2U,3.0,no,U,C,0.02
Falling Timber,PLS,Instant,,no,2G,3.0,no,G,C,0.12
Fall of the Gavel,RTR,Instant,,no,3WU,5.0,no,WU,U,0.06
Fall of the Hammer,CM2,Instant,,no,1R,2.0,no,R,C,0.07
Fall of the Impostor,KHM,Enchantment,,no,1GW,3.0,no,WG,U,0.09
Fall of the Thran,DOM,Enchantment,,no,5W,6.0,no,W,R,0.24
Fall of the Titans,OGW,Instant,,no,XXR,1.0,no,R,R,0.24
Fallow Earth,6ED,Sorcery,,no,2G,3.0,no,G,U,0.11
Fallowsage,LRW,Creature,,no,3U,4.0,no,U,U,1.3
Fallow Wurm,WTH,Creature,,no,2G,3.0,no,G,U,0.16
False Cure,ONS,Instant,,no,BB,2.0,no,B,R,3.56
False Dawn,APC,Sorcery,,no,1W,2.0,no,W,R,0.26
False Defeat,ME3,Sorcery,,no,3W,4.0,no,W,U,26.59
False Demise,MMQ,Enchantment,,no,2U,3.0,no,U,U,0.09
False Floor,NCC,Artifact,,no,4,4.0,no,colorless,R,0.45
False Memories,TOR,Instant,,no,1U,2.0,no,U,R,0.23
False Mourning,PTK,Sorcery,,no,G,1.0,no,G,U,51.98
False Orders,2ED,Instant,,no,R,1.0,no,R,C,3.5
False Peace,S99,Sorcery,,no,W,1.0,no,W,U,0.31
False Prophet,CMD,Creature,,no,2WW,4.0,no,W,R,0.77
False Summoning,ME4,Instant,,no,1U,2.0,no,U,C,0.35
Falter,VMA,Instant,,no,1R,2.0,no,R,C,0.11
"Falthis, Shadowcat Familiar",CMR,LegendaryCreature,,no,2B,3.0,no,B,U,0.12
Familiar Ground,7ED,Enchantment,,no,2G,3.0,no,G,U,0.23
Familiar's Ruse,MM3,Instant,,no,UU,2.0,no,U,U,0.53
Family's Favor,NCC,Enchantment,,no,2G,3.0,no,G,R,1.21
Famine,VMA,Sorcery,,no,3BB,5.0,no,B,U,0.12
Famished Foragers,MID,Creature,,no,3R,4.0,no,R,C,0.01
Famished Ghoul,ODY,Creature,,no,3B,4.0,no,B,U,0.09
Famished Paladin,RIX,Creature,,no,1W,2.0,no,W,U,0.21
Fanatical Devotion,NEM,Enchantment,,no,2W,3.0,no,W,C,1.42
Fanatical Fever,ICE,Instant,,no,2GG,4.0,no,G,U,0.16
Fanatical Firebrand,JMP,Creature,,no,R,1.0,no,R,C,0.08
Fanatic of Mogis,THS,Creature,,no,3R,4.0,no,R,U,0.28
Fanatic of Xenagos,BNG,Creature,,no,1RG,3.0,no,RG,U,0.07
Fan Bearer,GNT,Creature,,no,W,1.0,no,W,C,0.03
Fan Favorite,BBD,Creature,,no,3B,4.0,no,B,C,0.02
Fangblade Brigand//Fangblade Eviscerator,MID,Creature,Creature,yes,3R,4.0,no,R,U,0.03
Fang of Shigeki,NEO,EnchantmentCreature,,no,G,1.0,no,G,C,0.03
Fang of the Pack,CN2,Creature,,no,5G,6.0,no,G,U,0.2
Fangren Firstborn,DST,Creature,,no,1GGG,4.0,no,G,R,2.66
Fangren Hunter,MRD,Creature,,no,3GG,5.0,no,G,C,0.11
Fangren Marauder,MBS,Creature,,no,5G,6.0,no,G,C,0.33
Fangren Pathcutter,5DN,Creature,,no,4GG,6.0,no,G,U,0.1
Fang Skulkin,EVE,ArtifactCreature,,no,2,2.0,no,colorless,C,0.25
Fanning the Flames,TPR,Sorcery,,no,XRR,2.0,no,R,R,0.25
Far//Away,DGM,Instant,Instant,yes,1U2B,5.0,no,UB,U,0.21
Farbog Boneflinger,CN2,Creature,,no,4B,5.0,no,B,U,0.04
Farbog Explorer,AVR,Creature,,no,2W,3.0,no,W,C,0.03
Farbog Revenant,SOI,Creature,,no,2B,3.0,no,B,C,0.05
Farewell,NEO,Sorcery,,no,4WW,6.0,no,W,R,5.84
Farfinder,IKO,Creature,,no,3,3.0,no,colorless,C,0.05
Farhaven Elf,KHC,Creature,,no,2G,3.0,no,G,C,0.09
"Farideh, Devil's Chosen",AFR,LegendaryCreature,,no,2UR,4.0,no,UR,U,0.03
Farideh's Fireball,AFR,Instant,,no,3RR,5.0,no,R,C,0.03
Farm//Market,C19,Instant,Sorcery,yes,2W2U,6.0,no,WU,U,0.01
Farmstead,SUM,Enchantment,,no,WWW,3.0,no,W,R,3.01
Farmstead Gleaner,MH1,ArtifactCreature,,no,3,3.0,no,colorless,U,0.06
Farrelite Priest,FEM,Creature,,no,1WW,3.0,no,W,U,0.15
Farrel's Mantle,ME2,Enchantment,,no,2W,3.0,no,W,U,0.13
Farrel's Zealot,ME2,Creature,,no,1WW,3.0,no,W,U,0.14
Farseek,NCC,Sorcery,,no,1G,2.0,no,G,C,1.61
Farsight Adept,ZNR,Creature,,no,2W,3.0,no,W,C,0.01
Farsight Mask,PCA,Artifact,,no,5,5.0,no,colorless,U,0.25
Far Wanderings,ZNC,Sorcery,,no,2G,3.0,no,G,C,0.24
Fascination,FRF,Sorcery,,no,XUU,2.0,no,U,U,0.2
Fast//Furious,MH2,Instant,Sorcery,yes,2R3RR,8.0,no,R,U,0.02
Fasting,DRK,Enchantment,,no,W,1.0,no,W,U,1.05
Fatal Attraction,FUT,Enchantment,,no,2R,3.0,no,R,C,0.08
Fatal Blow,6ED,Instant,,no,B,1.0,no,B,C,0.09
Fatal Frenzy,PLC,Instant,,no,2R,3.0,no,R,R,0.35
Fatal Fumes,DGM,Instant,,no,3B,4.0,no,B,C,0.01
Fatal Grudge,SNC,Sorcery,,no,BR,2.0,no,BR,U,0.06
Fatal Lore,ALL,Sorcery,,no,2BB,4.0,no,B,R,1.34
Fatal Mutation,SCG,Enchantment,,no,B,1.0,no,B,U,0.12
Fatal Push,2XM,Instant,,no,B,1.0,no,B,U,2.78
Fated Conflagration,BNG,Instant,,no,1RRR,4.0,no,R,R,0.08
